date,AAPL,Return,42d,242d,Mov_Vol
1990-07-09,10.96,0.0409740742103,9.69166666667,,
1990-07-10,11.04,0.00727275932908,9.72095238095,,
1990-07-11,11.04,0.0,9.75285714286,,
1990-07-12,11.13,0.0081191244385,9.78,,
1990-07-13,10.99,-0.0126583968719,9.80880952381,,
1990-07-16,10.72,-0.0248746127729,9.83119047619,,
1990-07-17,10.4,-0.0303053494953,9.84642857143,,
1990-07-18,10.49,0.00861661626088,9.86476190476,,
1990-07-19,9.81,-0.0670201488309,9.87666666667,,
1990-07-20,9.63,-0.0185190477672,9.885,,
1990-07-23,9.75,0.0123840591997,9.88571428571,,
1990-07-24,9.9,0.0152674721308,9.88642857143,,
1990-07-25,9.93,0.00302572091654,9.88785714286,,
1990-07-26,9.72,-0.0213748595847,9.89547619048,,
1990-07-27,9.72,0.0,9.89761904762,,
1990-07-30,9.96,0.0243914531242,9.90333333333,,
1990-07-31,9.87,-0.00907721815112,9.90761904762,,
1990-08-01,9.96,0.00907721815112,9.91666666667,,
1990-08-02,10.22,0.0257695131791,9.9319047619,,
1990-08-03,9.69,-0.0532521588729,9.94166666667,,
1990-08-06,9.28,-0.0432328791046,9.94166666667,,
1990-08-07,9.28,0.0,9.94452380952,,
1990-08-08,9.43,0.0160345498473,9.955,,
1990-08-09,9.28,-0.0160345498473,9.95785714286,,
1990-08-10,9.11,-0.0184888355262,9.9480952381,,
1990-08-13,9.37,0.0281403849785,9.94880952381,,
1990-08-14,9.34,-0.00320684400958,9.94880952381,,
1990-08-15,9.22,-0.0129312146722,9.94738095238,,
1990-08-16,9.05,-0.0186102798567,9.94333333333,,
1990-08-17,8.58,-0.053330844212,9.92595238095,,
1990-08-20,8.66,0.00928080907447,9.90833333333,,
1990-08-21,8.54,-0.0139537147739,9.87738095238,,
1990-08-22,8.28,-0.0309180394033,9.84238095238,,
1990-08-23,8.13,-0.0182820448374,9.80523809524,,
1990-08-24,8.37,0.0290929609417,9.77714285714,,
1990-08-27,8.9,0.0613973922367,9.7569047619,,
1990-08-28,8.99,0.0100615717454,9.73047619048,,
1990-08-29,8.78,-0.0236364408365,9.68904761905,,
1990-08-30,8.54,-0.0277153998465,9.64619047619,,
1990-08-31,8.72,0.0208582301204,9.60761904762,,
1990-09-04,8.72,0.0,9.5719047619,,
1990-09-05,8.48,-0.0279087881171,9.52333333333,,
1990-09-06,8.43,-0.00591367779005,9.4630952381,,
1990-09-07,8.57,0.0164709605959,9.40428571429,,
1990-09-10,8.43,-0.0164709605959,9.34214285714,,
1990-09-11,8.01,-0.0511060109335,9.26785714286,,
1990-09-12,8.01,0.0,9.1969047619,,
1990-09-13,7.95,-0.00751883241403,9.13095238095,,
1990-09-14,8.01,0.00751883241403,9.07404761905,,
1990-09-17,7.95,-0.00751883241403,9.01357142857,,
1990-09-18,7.87,-0.0101138662369,8.96738095238,,
1990-09-19,7.66,-0.0270460786768,8.92047619048,,
1990-09-20,7.45,-0.027797951361,8.86571428571,,
1990-09-21,7.42,-0.00403497521218,8.80666666667,,
1990-09-24,7.13,-0.0398678227531,8.74,,
1990-09-25,7.07,-0.00845075451772,8.6769047619,,
1990-09-26,7.01,-0.00852277886198,8.61238095238,,
